"ReID","EQID","EvLat [°]","EvLon [°]","EvDepth [km]","Sta","StaLat [°]","StaLon [°]","Year","Month","Day","Hour","Min","Sec","Mag [Mw]","TectEnvi","Vs30 [m/s]","TypeVs30","EpiDist [km]","HypDist [km]","RupDist [km]","RupDist_PubliPlane [km]","RupDist_CMT [km]","RupDist_CSN [km]","Azimut [°]","Comp","Freq LowCut [Hz]","Freq HighCut [Hz]","PGA [cm/sec2]","PGV [cm/sec2]","Sa0.01 [cm/sec2]","Sa0.015 [cm/sec2]","Sa0.02 [cm/sec2]","Sa0.025 [cm/sec2]","Sa0.03 [cm/sec2]","Sa0.035 [cm/sec2]","Sa0.04 [cm/sec2]","Sa0.045 [cm/sec2]","Sa0.05 [cm/sec2]","Sa0.055 [cm/sec2]","Sa0.06 [cm/sec2]","Sa0.065 [cm/sec2]","Sa0.07 [cm/sec2]","Sa0.075 [cm/sec2]","Sa0.08 [cm/sec2]","Sa0.085 [cm/sec2]","Sa0.09 [cm/sec2]","Sa0.1 [cm/sec2]","Sa0.15 [cm/sec2]","Sa0.2 [cm/sec2]","Sa0.25 [cm/sec2]","Sa0.3 [cm/sec2]","Sa0.35 [cm/sec2]","Sa0.4 [cm/sec2]","Sa0.45 [cm/sec2]","Sa0.5 [cm/sec2]","Sa0.55 [cm/sec2]","Sa0.6 [cm/sec2]","Sa0.65 [cm/sec2]","Sa0.7 [cm/sec2]","Sa0.75 [cm/sec2]","Sa0.8 [cm/sec2]","Sa0.85 [cm/sec2]","Sa0.9 [cm/sec2]","Sa1 [cm/sec2]","Sa1.5 [cm/sec2]","Sa2 [cm/sec2]","Sa2.5 [cm/sec2]","Sa3 [cm/sec2]","Sa3.5 [cm/sec2]","Sa4 [cm/sec2]","Sa4.5 [cm/sec2]","Sa5 [cm/sec2]","Sa5.5 [cm/sec2]","Sa6 [cm/sec2]","Sa6.5 [cm/sec2]","Sa7 [cm/sec2]","Sa7.5 [cm/sec2]","Sa8 [cm/sec2]","Sa8.5 [cm/sec2]","Sa9 [cm/sec2]","Sa10 [cm/sec2]","AriasIntensity [m/s]","TotalDuration [sec]","SignificantDuration [sec]","BracketedDuration [sec]",
"""hide"":""hide""","[]","[]","""desc"":""from CSN"",""units"":""\u00b0""","""desc"":""from CSN"",""units"":""\u00b0""","""desc"":""from CSN"",""units"":""km""","[]","""units"":""\u00b0""","""units"":""\u00b0""","[]","[]","[]","[]","[]","[]","""desc"":""Moment Magnitude. From GCMT catalog or conversion equations from ML"",""units"":""Mw""","""desc"":""0 = subduction interface\r\n1 = subduction inslab\r\n2 = crustal""","""units"":""m\/s""","""desc"":""1 = Measured Vs30\r\n2 = Wang and Wang, 2015. For shear wave profile with z 5\r\n3 = infered Vs30 from slope topographic proxy and HVSR.""","""units"":""km""","""units"":""km""","""units"":""km""","""desc"":""Rupture distance from a published rupture plane"",""units"":""km""","""units"":""km"",""desc"":""rupture distance from a inference plane with centroid reported by CMT""","""units"":""km"",""desc"":""rupture distance from a inference plane with hypocenter reported by CSN""","""units"":""\u00b0""","[]","""units"":""Hz""","""units"":""Hz""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""cm\/sec2""","""units"":""m\/s""","""desc"":""total length of record"",""units"":""sec""","""desc"":""Arias Intensity between 5 and 95%"",""units"":""sec""","""desc"":""Total time elapsed between the first and last excursions of a specified level of acceleration (in this study =0.05g)."",""units"":""sec"""
DATASTART
"20001","50001","-33.24","-71.85","33","BIOB01S","-36.5972","-72.115","1985","3","3","22","47","40","7.9","interface","358","3","373.2308925","374.6869348","223.8073576","223.8073576","228.26","313.705","183.6446263","NS","0.02","30","57.41836054","9.25202213","57.41857645","57.52259564","57.52126047","58.14457399","58.49983424","60.53963954","59.70291078","59.8806435","60.31392226","59.31605099","57.87648739","57.39412424","60.06833033","60.29771439","58.56920555","58.05411673","61.10404392","65.85109724","64.19894654","98.39504174","103.0718902","108.4614319","147.4018691","121.7426621","156.9503964","138.6894971","149.4095507","149.6249625","150.2197692","117.6070005","107.407811","126.1158299","144.0137845","190.9793742","167.9460035","83.49739415","72.12942842","59.00602799","40.72865645","25.02723606","27.29514381","30.26061495","20.01220421","15.04407776","11.19964391","9.066742506","6.827960747","4.991100526","3.677903166","2.817523692","2.341851121","1.775619458","14.09681989","43.15","31.895","6.66",
"20001","50001","-33.24","-71.85","33","BIOB01S","-36.5972","-72.115","1985","3","3","22","47","40","7.9","interface","358","3","373.2308925","374.6869348","223.8073576","223.8073576","228.26","313.705","183.6446263","EW","0.152949767","30","53.74169523","9.212473086","53.74184773","53.82255873","54.04525479","54.99097069","55.0860885","54.86118491","56.50812193","56.02974494","57.07302149","57.83973879","56.33571319","58.13632051","59.0989273","58.3813907","58.4702757","56.32419685","53.83679883","54.32694555","71.92412385","83.23460668","88.87518985","102.4509063","139.9671125","117.8870499","129.6638891","144.8763873","183.9267958","172.8353613","153.4951123","192.8015188","207.1127239","183.2083514","169.69992","172.4512847","104.5828095","89.29129185","64.75023372","48.89776737","33.05734075","34.31661275","36.3657592","32.91661536","15.34068304","-","-","-","-","-","-","-","-","-","12.68558848","43.15","32.44","0",
"20001","50001","-33.24","-71.85","33","BIOB01S","-36.5972","-72.115","1985","3","3","22","47","40","7.9","interface","358","3","373.2308925","374.6869348","223.8073576","223.8073576","228.26","313.705","183.6446263","Z","0.02","30","33.74597664","7.28724822","33.74598872","33.76342714","33.98079123","34.19144951","35.34006074","34.93106999","36.97445785","38.21236601","35.26424458","35.19184408","35.67017483","36.06259428","37.0761951","36.8027074","37.91109115","37.13001171","38.25130363","42.07843478","48.60800313","41.62705981","58.65863143","57.00049915","50.03825199","83.66899661","89.23949952","94.8960701","64.28871545","67.01846778","58.54792057","87.22214775","83.31292363","95.34076717","91.82453303","103.082577","103.601349","64.93533547","40.96808398","36.22474054","25.28210593","21.66808041","18.73677951","14.15158991","11.64811379","8.392142188","7.001954596","5.82483046","4.817570201","3.919283218","3.410193033","3.142381262","2.951690079","2.340623559","5.07675034","43.15","28.535","0",
"20002","50001","-33.24","-71.85","33","RANC01S","-33.94194444","-71.73694444","1985","3","3","22","47","40","7.9","interface","108","3","78.56026392","85.20982964","32.88862485","32.88862485","35.71","43.085","172.3544702","NS","0.171294429","50","244.0688498","8.651689937","244.1059491","268.7379271","303.2120768","281.2086381","317.8932792","286.3899205","289.4429107","280.0735776","265.5499712","226.0387528","290.6886369","255.011419","233.6847671","272.0625465","256.8673759","333.8714763","390.8526189","477.1889354","395.7895964","325.2044443","417.2974188","377.4961152","260.1927896","329.876693","205.7728354","289.4378017","178.7691914","123.800071","130.7068726","101.0241377","108.5579111","113.5846646","130.7547142","114.5426091","143.0955706","66.7634275","39.81964895","31.5985632","12.25445504","9.526614966","6.236473242","4.075578967","-","-","-","-","-","-","-","-","-","-","40.13198642","91.74","23.045","25.145",
"20002","50001","-33.24","-71.85","33","RANC01S","-33.94194444","-71.73694444","1985","3","3","22","47","40","7.9","interface","108","3","78.56026392","85.20982964","32.88862485","32.88862485","35.71","43.085","172.3544702","EW","0.333930412","50","138.9746531","6.429018449","139.019843","159.8954058","215.7306096","199.7574643","209.9713073","291.6827495","295.6378498","303.2265851","254.1834798","229.9337729","224.0644591","215.7015093","188.5317448","225.5594677","232.3735258","277.9451712","297.6302419","246.1933353","215.5041211","330.2145789","146.6012544","182.8930715","205.186017","131.828575","112.9311545","101.8421526","99.93396009","108.2071156","109.8738079","109.5685604","92.25706341","60.97242476","50.25427877","58.49078241","47.68214998","43.75093846","45.40497537","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","23.25834349","91.74","28.795","21.68",
"20002","50001","-33.24","-71.85","33","RANC01S","-33.94194444","-71.73694444","1985","3","3","22","47","40","7.9","interface","108","3","78.56026392","85.20982964","32.88862485","32.88862485","35.71","43.085","172.3544702","Z","0.306624381","50","84.22279391","4.412182439","84.23991018","105.793626","154.721533","183.0132674","189.5775747","163.4024031","162.0031292","158.1832553","152.2537125","176.2877163","172.494529","164.7175933","148.1851384","139.7880773","131.2269039","138.7056336","139.4420609","191.0679763","205.4558664","145.3643343","143.1337135","103.6164588","102.512949","129.9010075","108.1277123","97.29082511","69.05745052","89.36563723","115.3696827","101.4146071","69.39609673","53.23219965","57.3399839","54.09112487","53.21376852","34.40988957","30.34632884","14.66391854","-","-","-","-","-","-","-","-","-","-","-","-","-","-","17.10702612","91.74","29.845","13.605",
"20003","50001","-33.24","-71.85","33","RANC02S","-34.58638889","-70.98305556","1985","3","3","22","47","40","7.9","interface","666","1","169.5002039","172.6827123","70.8344991","70.8344991","73.855","110.985","152.0119478","NS","0.141817681","25","283.16535","24.61226801","283.1683752","284.5070084","285.7717895","290.660958","296.1995636","310.3625208","347.7402302","356.7506308","424.0621548","447.3069319","507.8316942","565.6198618","526.7404938","551.9198896","656.9637457","582.8228088","533.6324984","667.6097788","637.4637673","843.3331375","707.8347209","931.2792033","1201.553865","966.7515177","770.1913217","532.5515423","467.211246","365.0656751","330.6111288","251.9612265","348.2512041","306.9473814","203.4460099","207.798634","186.8268481","183.181993","194.145304","138.8059879","53.18843717","28.5680344","17.08059217","12.75832539","10.18606441","8.253266802","-","-","-","-","-","-","-","-","194.4057053","81.205","24.65","31.39",
"20003","50001","-33.24","-71.85","33","RANC02S","-34.58638889","-70.98305556","1985","3","3","22","47","40","7.9","interface","666","1","169.5002039","172.6827123","70.8344991","70.8344991","73.855","110.985","152.0119478","EW","0.237315583","25","332.6051541","23.93455138","332.6064625","333.2136615","333.2144927","336.2621312","344.5844338","356.6985317","375.3879125","399.1705591","422.4861925","445.7862448","422.8146472","550.1421604","552.8641667","729.8573126","809.7821602","900.0835908","858.6939213","828.4234114","732.4827608","1284.023886","812.3672824","1127.961768","671.7184409","521.3603824","407.2675526","391.482281","462.5725351","381.7648195","417.037698","388.5415537","378.8025744","383.0100065","476.4298396","525.8841668","444.7972171","130.1021594","160.1609196","108.6105174","72.02021095","-","-","-","-","-","-","-","-","-","-","-","-","-","204.9910156","81.205","26.495","34.42",
