[KiK-net]
Code_X	RecordID	SF
36932	SRCH070309260450	  3.9714
36850	KSRH060309260450	  0.6411
151337	CHBH111103111446	  1.9292
151623	NIGH181103111446	  2.3680
36793	IKRH010309260450	  4.6066
36891	OSMH020309260450	  2.1239
36931	SRCH060309260450	  1.7261
151301	AKTH031103111446	  4.6159
151326	AOMH101103111446	  4.8198
151404	GNMH111103111446	  2.8923
151342	CHBH171103111446	  3.7098
151609	NIGH041103111446	  4.0482
151475	IWTH111103111446	  3.5187
151608	NIGH021103111446	  2.4229
151313	AKTH161103111446	  1.3092
151562	MYGH051103111446	  1.0248
36786	IBUH010309260450	  2.3212
