[NGA-W2]
SNo	RSN	SF
1	1524	  4.7073
2	1581	  3.2749
3	1485	  4.1018
4	4350	  3.1005
5	5663	  2.3139
6	1166	  2.7007
7	1557	  4.6610
8	1436	  3.3242
9	3751	  3.4789
10	1575	  4.0639
11	1292	  4.6813
12	14	  4.1645
13	3307	  4.4646
14	1472	  2.7244
15	3750	  2.2340
16	3274	  4.0513
17	1555	  3.1414
18	963	  1.8202
19	4884	  3.5976
20	2466	  4.3378
21	1286	  3.7332
22	1470	  4.4196
23	1297	  4.9916
24	1465	  4.2100
25	1487	  3.7961
26	1478	  2.8343
27	5778	  3.9881
28	78	  4.3946
29	3281	  4.5206
30	1469	  4.2589
