[NGA-W2]
SNo	RSN	SF
1	1524	  4.7487
2	4891	  3.7940
3	3307	  4.5039
4	4884	  3.6293
5	1484	  3.8065
6	1469	  4.2964
7	963	  1.8362
8	3751	  3.5096
9	1292	  4.7225
10	1575	  4.0996
11	1581	  3.3038
12	78	  4.4333
13	1436	  3.3535
14	14	  4.2011
15	3865	  4.3784
16	1557	  4.7020
17	3750	  2.2537
18	1166	  2.7245
19	4350	  3.1278
20	3274	  4.0870
21	6980	  4.9308
22	3281	  4.5604
23	1453	  4.6934
24	1286	  3.7661
25	2466	  4.3760
26	1472	  2.7484
27	1269	  3.6258
28	3264	  4.9167
29	1555	  3.1691
30	1465	  4.2471
