[NGA-W2]
SNo	RSN	SF
1	1281	  3.6054
2	4223	  0.7440
3	1260	  2.5701
4	2110	  2.6568
5	1277	  1.9811
6	3258	  3.0053
7	1321	  3.2301
8	1026	  3.2438
9	1177	  2.1771
10	882	  2.5212
11	576	  1.0156
12	3207	  3.8675
13	2954	  4.6761
14	771	  1.1507
15	3281	  3.3492
16	5790	  1.8683
17	838	  2.1398
18	1027	  4.5149
19	1236	  1.3454
20	3023	  4.0324
21	3756	  1.1990
22	2709	  2.3409
23	506	  1.4224
24	3670	  1.5593
25	890	  3.9296
26	602	  2.6753
27	1289	  2.2745
28	1791	  3.0676
29	984	  2.4566
30	1035	  2.2274
31	1167	  3.8362
32	2383	  3.6013
33	70	  1.4368
34	1676	  2.7118
35	3262	  4.9577
36	1107	  1.6903
37	770	  1.5551
38	1259	  4.2587
39	859	  4.5470
40	1454	  1.5646
