[NGA-W2]
SNo	RSN	SF
1	5787	  3.2575
2	5494	  4.7119
3	1274	  4.8333
4	3747	  2.0081
5	1091	  2.4314
6	775	  4.0380
7	2498	  1.7462
8	3493	  2.4336
9	3188	  3.9590
10	4851	  2.5611
11	1475	  2.3254
12	3262	  4.9577
13	1234	  1.3705
14	1807	  4.4090
15	1313	  2.0701
16	1476	  1.5410
17	1109	  4.4250
18	572	  1.9283
19	5806	  1.5140
20	6949	  3.6713
21	794	  1.9733
22	3342	  4.8230
23	291	  3.3017
24	3392	  4.7307
25	2383	  3.6013
26	2954	  4.6761
27	6948	  2.4042
28	5775	  2.0076
29	3472	  4.0792
30	4871	  1.8587
