[NGA-W2]
SNo	RSN	SF
1	1524	  4.7487
2	1575	  4.0996
3	1436	  3.3535
4	4884	  3.6293
5	1472	  2.7484
6	1469	  4.2964
7	3307	  4.5039
8	1470	  4.4585
9	78	  4.4333
10	1460	  4.5626
11	1557	  4.7020
12	1514	  3.9206
13	5778	  4.0232
14	1581	  3.3038
15	1455	  4.0295
16	4350	  3.1278
17	1166	  2.7245
18	1465	  4.2471
19	1263	  4.3055
20	1523	  3.9709
21	1453	  4.6934
22	2650	  3.3233
23	3750	  2.2537
24	3269	  4.3054
25	1522	  3.8698
26	1555	  3.1691
27	14	  4.2011
28	3281	  4.5604
29	736	  3.7900
30	1525	  4.9107
