[NGA-W2]
SNo	RSN	SF
1	1575	  4.0996
2	1524	  4.7487
3	3307	  4.5039
4	4884	  3.6293
5	3281	  4.5604
6	1522	  3.8698
7	1166	  2.7245
8	1286	  3.7661
9	1581	  3.3038
10	1469	  4.2964
11	1555	  3.1691
12	3751	  3.5096
13	1557	  4.7020
14	1436	  3.3535
15	1485	  4.1379
16	1292	  4.7225
17	78	  4.4333
18	1484	  3.8065
19	14	  4.2011
20	3274	  4.0870
21	2661	  3.4772
22	4891	  3.7940
23	3750	  2.2537
24	1453	  4.6934
25	1478	  2.8592
26	3264	  4.9167
27	4350	  3.1278
28	1295	  3.9837
29	3865	  4.3784
30	2466	  4.3760
