[NGA-W2]
SNo	RSN	SF
1	1524	  4.7487
2	1472	  2.7484
3	1469	  4.2964
4	4884	  3.6293
5	1436	  3.3535
6	1166	  2.7245
7	1525	  4.9107
8	1522	  3.8698
9	1455	  4.0295
10	1465	  4.2471
11	1575	  4.0996
12	4350	  3.1278
13	1470	  4.4585
14	3307	  4.5039
15	1581	  3.3038
16	1263	  4.3055
17	3750	  2.2537
18	78	  4.4333
19	736	  3.7900
20	5778	  4.0232
21	14	  4.2011
22	2661	  3.4772
23	1292	  4.7225
24	1453	  4.6934
25	3281	  4.5604
26	1557	  4.7020
27	1555	  3.1691
28	1286	  3.7661
29	1460	  4.5626
30	1523	  3.9709
