[NGA-W2]
SNo	RSN	SF
1	5810	  4.4624
2	1485	  4.1379
3	1487	  3.8295
4	1524	  4.7487
5	4350	  3.1278
6	5778	  4.0232
7	963	  1.8362
8	4891	  3.7940
9	1436	  3.3535
10	1477	  3.7745
11	4884	  3.6293
12	1484	  3.8065
13	1476	  4.4769
14	2495	  3.3017
15	3865	  4.3784
16	787	  3.3500
17	3750	  2.2537
18	1292	  4.7225
19	771	  4.6192
20	78	  4.4333
21	3845	  4.3660
22	1581	  3.3038
23	5663	  2.3342
24	1478	  2.8592
25	6980	  4.9308
26	3307	  4.5039
27	1575	  4.0996
28	3274	  4.0870
29	1269	  3.6258
30	3751	  3.5096
