
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2026-08-17


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1281
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 1281, -, 1.0, -, 8.7, 17.9, 0.4, "Chi-Chi_ Taiwan", 1999, "HWA032", 7.62, Reverse Oblique, 42.87, 47.31, 573.04, 0.625, 1.0, RSN1281_CHICHI_HWA032-E.AT2, RSN1281_CHICHI_HWA032-N.AT2 , RSN1281_CHICHI_HWA032-V.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1281 SRSS pSa (g)
0.01,0.18983283,0.18983283,0.18983283,0.18983283
0.02,0.19517159,0.19517159,0.19517159,0.19517159
0.022,0.19549774,0.19549774,0.19549774,0.19549774
0.025,0.20086876,0.20086876,0.20086876,0.20086876
0.029,0.19917497,0.19917497,0.19917497,0.19917497
0.03,0.19892294,0.19892294,0.19892294,0.19892294
0.032,0.20215997,0.20215997,0.20215997,0.20215997
0.035,0.2097612,0.2097612,0.2097612,0.2097612
0.036,0.21479677,0.21479677,0.21479677,0.21479677
0.04,0.21930763,0.21930763,0.21930763,0.21930763
0.042,0.22421888,0.22421888,0.22421888,0.22421888
0.044,0.24149232,0.24149232,0.24149232,0.24149232
0.045,0.24586162,0.24586162,0.24586162,0.24586162
0.046,0.24686226,0.24686226,0.24686226,0.24686226
0.048,0.24745337,0.24745337,0.24745337,0.24745337
0.05,0.25143264,0.25143264,0.25143264,0.25143264
0.055,0.29221947,0.29221947,0.29221947,0.29221947
0.06,0.32119186,0.32119186,0.32119186,0.32119186
0.065,0.36548389,0.36548389,0.36548389,0.36548389
0.067,0.38338062,0.38338062,0.38338062,0.38338062
0.07,0.41068937,0.41068937,0.41068937,0.41068937
0.075,0.47643812,0.47643812,0.47643812,0.47643812
0.08,0.56495672,0.56495672,0.56495672,0.56495672
0.085,0.66338269,0.66338269,0.66338269,0.66338269
0.09,0.6677359,0.6677359,0.6677359,0.6677359
0.095,0.67452653,0.67452653,0.67452653,0.67452653
0.1,0.68404485,0.68404485,0.68404485,0.68404485
0.11,0.81903173,0.81903173,0.81903173,0.81903173
0.12,0.68952124,0.68952124,0.68952124,0.68952124
0.13,0.59242622,0.59242622,0.59242622,0.59242622
0.133,0.56874097,0.56874097,0.56874097,0.56874097
0.14,0.52260153,0.52260153,0.52260153,0.52260153
0.15,0.45264784,0.45264784,0.45264784,0.45264784
0.16,0.37685315,0.37685315,0.37685315,0.37685315
0.17,0.36240695,0.36240695,0.36240695,0.36240695
0.18,0.38762912,0.38762912,0.38762912,0.38762912
0.19,0.38754153,0.38754153,0.38754153,0.38754153
0.2,0.36960251,0.36960251,0.36960251,0.36960251
0.22,0.41362778,0.41362778,0.41362778,0.41362778
